incident_id,cause,root_cause,severity,timeline,resolution,linked_deployment,linked_pr,linked_adr,lessons_learned
INC-0001,Routing loop in Istio service mesh for atlaspay-ledger,A misconfigured VirtualService manifest in Terraform caused traffic to cycle between the canary deployment and the main service. Latency spiked and error rates reached 100% due to maximum hop recursion.,P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-12 15:59:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-12 16:08:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-12 16:33:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-12 19:59:00""}]",Applied mitigation at 16:33:00 by rolling back production deployment DEP-0003 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0003,PR-0001,ADR-0001,Add deployment linting checks for mesh configurations. Implement dry-run verification steps in CI/CD pipeline before applying mesh routes.
INC-0002,Routing loop in Istio service mesh for novacommerce-cart,A misconfigured VirtualService manifest in Terraform caused traffic to cycle between the canary deployment and the main service. Latency spiked and error rates reached 100% due to maximum hop recursion.,P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-19 07:24:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-19 07:30:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-01-19 08:41:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-19 11:57:00""}]",Applied mitigation at 08:41:00 by rolling back production deployment DEP-0005 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0005,PR-0003,,Add deployment linting checks for mesh configurations. Implement dry-run verification steps in CI/CD pipeline before applying mesh routes.
INC-0003,Unoptimized query on platform-monitoring database after release,A new feature did a sequential scan on a table containing 10M+ rows because the foreign key index was omitted in the migration script. CPU spiked to 100% and query latency went from 5ms to 8000ms.,P2,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-20 16:07:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-20 16:19:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-20 17:13:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-20 18:47:00""}]",Applied mitigation at 17:13:00 by rolling back production deployment DEP-0007 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0007,PR-0002,ADR-0003,Require explain-plan checks in CI/CD pipelines for any new migration files. Enforce indexing guidelines for foreign keys.
INC-0004,Cache stampede in atlaspay-ledger for metadata queries,"An eviction of high-frequency metadata cache keys in Redis occurred concurrently with a traffic spike. Thousands of pods hit the underlying database at once to re-fetch the metadata, locking tables.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-21 13:52:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-21 13:59:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-21 15:19:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-21 16:36:00""}]",Applied mitigation at 15:19:00 by rolling back production deployment DEP-0009 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0009,PR-0004,,Implement cache key locking/mutexes (single-flight pattern) so only one request updates the cache while others wait. Add jitter to cache TTLs.
INC-0005,Unoptimized query on atlaspay-ledger database after release,A new feature did a sequential scan on a table containing 10M+ rows because the foreign key index was omitted in the migration script. CPU spiked to 100% and query latency went from 5ms to 8000ms.,P2,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-22 14:56:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-22 15:06:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-22 15:21:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-22 18:13:00""}]",Applied mitigation at 15:21:00 by rolling back production deployment DEP-0011 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0011,PR-0008,ADR-0001,Require explain-plan checks in CI/CD pipelines for any new migration files. Enforce indexing guidelines for foreign keys.
INC-0006,Out of memory (OOM) crash in cloudsync-desktop pod during batch processing,A memory leak in the Go/Python worker loop processing batch uploads. The worker accumulated pointers in a global slice and did not trigger garbage collection timely. Pod reached K8s limit (2Gi) and got OOMKilled.,P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-24 18:27:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-24 18:31:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-01-24 18:58:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-24 22:14:00""}]",Applied mitigation at 18:58:00 by rolling back production deployment DEP-0013 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0013,PR-0005,,"Profile heap usage during batch tasks, reuse object buffers, and add strict memory limits to K8s configs with warnings at 80% usage."
INC-0007,Unoptimized query on novacommerce-checkout database after release,A new feature did a sequential scan on a table containing 10M+ rows because the foreign key index was omitted in the migration script. CPU spiked to 100% and query latency went from 5ms to 8000ms.,P2,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-25 23:22:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-25 23:36:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-01-25 23:56:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-26 01:54:00""}]",Applied mitigation at 23:56:00 by rolling back production deployment DEP-0015 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0015,PR-0010,,Require explain-plan checks in CI/CD pipelines for any new migration files. Enforce indexing guidelines for foreign keys.
INC-0008,Routing loop in Istio service mesh for security-scanner,A misconfigured VirtualService manifest in Terraform caused traffic to cycle between the canary deployment and the main service. Latency spiked and error rates reached 100% due to maximum hop recursion.,P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-27 18:52:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-27 19:02:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-01-27 20:08:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-28 00:04:00""}]",Applied mitigation at 20:08:00 by rolling back production deployment DEP-0017 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0017,PR-0011,ADR-0002,Add deployment linting checks for mesh configurations. Implement dry-run verification steps in CI/CD pipeline before applying mesh routes.
INC-0009,Message lag spike on Kafka partition for security-scanner,"A slow consumer thread due to synchronous downstream HTTP calls. As partition size grew, processing fell behind by over 50,000 messages, delaying order processing in NovaCommerce.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-28 09:05:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-28 09:13:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-28 09:36:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-28 12:26:00""}]",Applied mitigation at 09:36:00 by rolling back production deployment DEP-0019 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0019,PR-0012,ADR-0002,"Implement worker pool concurrency in consumer code, wrap calls in circuit breakers, and monitor consumer lag metrics to trigger auto-scaling."
INC-0010,Database connection pool exhaustion on security-scanner,"The service connection pool size was set to 20, but under heavy concurrent traffic, queries blocked on database, causing requests to queue up and exhaust all worker threads. The health check endpoint also blocked, leading Kubernetes to restart pods in a loop.",P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-28 19:13:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-28 19:26:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-28 20:44:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-28 21:30:00""}]",Applied mitigation at 20:44:00 by rolling back production deployment DEP-0021 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0021,PR-0014,ADR-0002,"We must decoupled health check endpoints from primary database checks (make them shallow), increase connection pool limits, and implement rate limiting on expensive endpoints."
