request_id,title,status,product,created_date,linked_jira,customer_id
FTR-0001,Request: Epic: Implement Memcached cache layer for novacommerce-cart,Implemented,NovaCommerce,2024-12-17,NC2-61,CST-0001
FTR-0002,Request: Integrate metrics reporting client in cloudsync-storage,Implemented,CloudSync,2025-11-20,CS11-117,CST-0002
FTR-0003,Request: Add feature request endpoint to cloudsync-storage,Under Review,CloudSync,2025-12-18,CS11-100,CST-0002
FTR-0004,Request: Implement Cassandra backend service in cloudsync-storage,Under Review,CloudSync,2024-09-14,CS11-3,CST-0002
FTR-0005,Request: Implement Nomad backend service in atlaspay-portal,Implemented,AtlasPay,2025-01-29,AP6-51,CST-0003
FTR-0006,Request: Optimize user session timeouts in insightcrm-analytics,Implemented,InsightCRM,2023-05-26,IA9-175,CST-0003
FTR-0007,Request: Refactor API request validation for visionai-training,Implemented,VisionAI,2022-03-24,VT14-174,CST-0004
FTR-0008,Request: Add feature request endpoint to insightcrm-api,Implemented,InsightCRM,2022-12-30,IA7-158,CST-0004
FTR-0009,Request: Add feature request endpoint to cloudsync-daemon,Under Review,CloudSync,2024-02-11,CD10-178,CST-0005
FTR-0010,Request: Implement Redis backend service in novacommerce-checkout,Under Review,NovaCommerce,2021-11-03,NC3-34,CST-0005
FTR-0011,Request: Implement Memcached backend service in novacommerce-ui,Implemented,NovaCommerce,2025-04-16,NU1-8,CST-0005
FTR-0012,Request: Implement NATS backend service in visionai-pipeline,Implemented,VisionAI,2025-07-12,VP15-58,CST-0006
FTR-0013,Request: Integrate metrics reporting client in visionai-inference,Implemented,VisionAI,2023-07-20,VI13-87,CST-0006
FTR-0014,Request: Refactor API request validation for insightcrm-api,Under Review,InsightCRM,2024-11-17,IA7-96,CST-0006
FTR-0015,Request: Implement Memcached backend service in fusionerp-payroll,Implemented,FusionERP,2022-01-17,FP17-38,CST-0007
FTR-0016,Request: Refactor API request validation for fusionerp-frontend,Implemented,FusionERP,2023-03-25,FF18-76,CST-0007
FTR-0017,Request: Implement pagination for bulk queries in fusionerp-core controller,Implemented,FusionERP,2024-03-16,FC16-75,CST-0007
FTR-0018,Request: Implement pagination for bulk queries in novacommerce-api controller,Implemented,NovaCommerce,2022-04-30,NA0-129,CST-0008
FTR-0019,Request: Epic: Implement Memcached cache layer for visionai-pipeline,Implemented,VisionAI,2023-04-15,VP15-27,CST-0008
FTR-0020,Request: Integrate metrics reporting client in cloudsync-desktop,Implemented,CloudSync,2022-12-09,CD12-167,CST-0009
FTR-0021,Request: Implement Redis backend service in cloudsync-daemon,Implemented,CloudSync,2025-08-28,CD10-10,CST-0009
FTR-0022,Request: Optimize user session timeouts in insightcrm-ui,Implemented,InsightCRM,2023-06-11,IU8-167,CST-0009
FTR-0023,Request: Implement Kubernetes backend service in fusionerp-frontend,Implemented,FusionERP,2024-11-04,FF18-20,CST-0010
FTR-0024,Request: Optimize user session timeouts in insightcrm-api,Implemented,InsightCRM,2023-01-18,IA7-91,CST-0011
FTR-0025,Request: Refactor API request validation for insightcrm-api,Under Review,InsightCRM,2021-06-25,IA7-144,CST-0011
FTR-0026,Request: Integrate metrics reporting client in atlaspay-ledger,Implemented,AtlasPay,2021-01-23,AL5-196,CST-0011
FTR-0027,Request: Add feature request endpoint to fusionerp-core,Implemented,FusionERP,2022-01-22,FC16-79,CST-0012
FTR-0028,Request: Implement RabbitMQ backend service in fusionerp-frontend,Under Review,FusionERP,2024-08-19,FF18-63,CST-0013
FTR-0029,Request: Implement pagination for bulk queries in atlaspay-ledger controller,Implemented,AtlasPay,2021-03-19,AL5-207,CST-0013
FTR-0030,Request: Refactor API request validation for insightcrm-ui,Under Review,InsightCRM,2023-09-16,IU8-210,CST-0014
FTR-0031,Request: Integrate metrics reporting client in insightcrm-ui,Implemented,InsightCRM,2021-03-25,IU8-118,CST-0014
FTR-0032,Request: Integrate metrics reporting client in novacommerce-cart,Implemented,NovaCommerce,2025-06-05,NC2-143,CST-0015
FTR-0033,Request: Integrate metrics reporting client in insightcrm-api,Implemented,InsightCRM,2025-08-06,IA7-160,CST-0016
FTR-0034,Request: Implement Redis backend service in insightcrm-api,Implemented,InsightCRM,2022-01-27,IA7-12,CST-0016
FTR-0035,Request: Epic: Adopt DynamoDB for insightcrm-ui database storage,Implemented,InsightCRM,2025-01-21,IU8-6,CST-0017
FTR-0036,Request: Add feature request endpoint to atlaspay-gateway,Under Review,AtlasPay,2022-07-10,AG4-153,CST-0017
FTR-0037,Request: Implement Memcached backend service in novacommerce-cart,Implemented,NovaCommerce,2025-01-24,NC2-65,CST-0018
FTR-0038,Request: Implement pagination for bulk queries in visionai-pipeline controller,Implemented,VisionAI,2022-09-06,VP15-158,CST-0019
FTR-0039,Request: Implement pagination for bulk queries in visionai-pipeline controller,Implemented,VisionAI,2023-10-19,VP15-179,CST-0019
FTR-0040,Request: Epic: Adopt DynamoDB for visionai-training database storage,Implemented,VisionAI,2023-10-07,VT14-14,CST-0019
FTR-0041,Request: Integrate metrics reporting client in novacommerce-api,Implemented,NovaCommerce,2025-10-07,NA0-67,CST-0020
FTR-0042,Request: Implement pagination for bulk queries in atlaspay-gateway controller,Implemented,AtlasPay,2021-10-01,AG4-124,CST-0021
FTR-0043,Request: Optimize user session timeouts in cloudsync-daemon,Implemented,CloudSync,2025-04-28,CD10-141,CST-0021
FTR-0044,Request: Implement Vue.js backend service in fusionerp-payroll,Implemented,FusionERP,2024-08-23,FP17-17,CST-0022
FTR-0045,Request: Implement AWS SQS backend service in fusionerp-frontend,Implemented,FusionERP,2025-12-17,FF18-41,CST-0022
FTR-0046,Request: Implement Nomad backend service in fusionerp-frontend,Implemented,FusionERP,2023-12-09,FF18-23,CST-0022
FTR-0047,Request: Implement NATS backend service in fusionerp-core,Implemented,FusionERP,2024-07-16,FC16-14,CST-0023
FTR-0048,Request: Implement AWS ECS backend service in atlaspay-portal,Implemented,AtlasPay,2022-05-22,AP6-8,CST-0023
FTR-0049,Request: Add feature request endpoint to cloudsync-daemon,Under Review,CloudSync,2024-04-13,CD10-148,CST-0024
FTR-0050,Request: Implement pagination for bulk queries in fusionerp-core controller,Implemented,FusionERP,2023-03-19,FC16-50,CST-0025
FTR-0051,Request: Refactor API request validation for atlaspay-portal,Implemented,AtlasPay,2022-05-27,AP6-138,CST-0025
FTR-0052,Request: Refactor API request validation for cloudsync-desktop,Implemented,CloudSync,2024-10-22,CD12-172,CST-0026
FTR-0053,Request: Optimize user session timeouts in insightcrm-ui,Under Review,InsightCRM,2022-07-04,IU8-143,CST-0026
