ticket_id,subject,status,product,created_date,linked_incident,customer_id
SUP-0001,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,NovaCommerce,2022-11-10,,CST-0001
SUP-0002,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,CloudSync,2023-09-29,,CST-0002
SUP-0003,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2022-07-04,,CST-0002
SUP-0004,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,CloudSync,2023-04-04,,CST-0002
SUP-0005,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Open,NovaCommerce,2023-11-11,,CST-0002
SUP-0006,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Open,NovaCommerce,2025-03-13,,CST-0003
SUP-0007,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,CloudSync,2024-01-07,,CST-0004
SUP-0008,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,InsightCRM,2021-01-01,,CST-0004
SUP-0009,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,CloudSync,2024-05-07,,CST-0005
SUP-0010,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,NovaCommerce,2023-01-07,,CST-0005
SUP-0011,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,NovaCommerce,2022-02-21,,CST-0005
SUP-0012,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2024-08-19,,CST-0005
SUP-0013,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,CloudSync,2021-10-05,,CST-0005
SUP-0014,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,InsightCRM,2022-06-20,,CST-0006
SUP-0015,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,VisionAI,2022-08-03,,CST-0006
SUP-0016,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,InsightCRM,2022-05-28,,CST-0006
SUP-0017,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,InsightCRM,2024-01-23,,CST-0006
SUP-0018,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,FusionERP,2024-08-17,,CST-0007
SUP-0019,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2024-11-27,,CST-0007
SUP-0020,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,FusionERP,2023-01-25,,CST-0007
SUP-0021,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,FusionERP,2022-12-22,,CST-0008
SUP-0022,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2024-05-09,,CST-0008
SUP-0023,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2023-07-05,,CST-0008
SUP-0024,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2025-05-21,,CST-0009
SUP-0025,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Open,InsightCRM,2022-12-23,,CST-0009
SUP-0026,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2024-10-03,,CST-0009
SUP-0027,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2023-06-10,,CST-0009
SUP-0028,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2025-07-01,,CST-0009
SUP-0029,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Open,AtlasPay,2024-10-05,,CST-0010
SUP-0030,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,VisionAI,2022-12-21,,CST-0011
SUP-0031,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,InsightCRM,2023-01-18,,CST-0011
SUP-0032,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Open,InsightCRM,2021-03-25,,CST-0012
SUP-0033,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,FusionERP,2023-11-27,,CST-0012
SUP-0034,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,FusionERP,2025-03-12,,CST-0013
SUP-0035,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,InsightCRM,2025-03-22,,CST-0014
SUP-0036,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,InsightCRM,2022-09-19,,CST-0014
SUP-0037,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,InsightCRM,2022-02-28,,CST-0014
SUP-0038,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2025-04-18,,CST-0015
SUP-0039,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,NovaCommerce,2025-05-06,,CST-0015
SUP-0040,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,NovaCommerce,2022-04-03,,CST-0015
SUP-0041,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,NovaCommerce,2023-05-31,,CST-0015
SUP-0042,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,InsightCRM,2022-03-31,,CST-0016
SUP-0043,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,InsightCRM,2025-11-29,,CST-0016
SUP-0044,System Error: Routing loop in Istio service mesh for insightcrm-api affecting our operations.,Closed,InsightCRM,2021-10-28,INC-0258,CST-0016
