deployment_id,environment,timestamp,pipeline_run,duration_seconds,status,rollback,linked_pr,linked_adr
DEP-0001,staging,2021-01-12 00:13:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/38818,155,Failed,False,PR-0001,ADR-0001
DEP-0002,staging,2021-01-12 01:22:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/38818,147,Success,False,PR-0001,ADR-0001
DEP-0003,production,2021-01-12 15:22:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/72853,104,Success,False,PR-0001,ADR-0001
DEP-0004,staging,2021-01-19 00:14:00,https://github.com/novatech-solutions/novacommerce-core/actions/runs/99815,111,Success,False,PR-0003,
DEP-0005,production,2021-01-19 07:14:00,https://github.com/novatech-solutions/novacommerce-core/actions/runs/42055,198,Success,False,PR-0003,
DEP-0006,staging,2021-01-20 00:18:00,https://github.com/novatech-solutions/platform-infra/actions/runs/18258,130,Success,False,PR-0002,ADR-0003
DEP-0007,production,2021-01-20 15:18:00,https://github.com/novatech-solutions/platform-infra/actions/runs/13852,346,Success,False,PR-0002,ADR-0003
DEP-0008,staging,2021-01-21 00:26:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/55853,229,Success,False,PR-0004,
DEP-0009,production,2021-01-21 13:26:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/54053,162,Success,False,PR-0004,
DEP-0010,staging,2021-01-22 00:15:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/76357,121,Success,False,PR-0008,ADR-0001
DEP-0011,production,2021-01-22 14:15:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/21563,282,Success,False,PR-0008,ADR-0001
DEP-0012,staging,2021-01-24 00:09:00,https://github.com/novatech-solutions/cloudsync-apps/actions/runs/54612,234,Success,False,PR-0005,
DEP-0013,production,2021-01-24 17:09:00,https://github.com/novatech-solutions/cloudsync-apps/actions/runs/54311,91,Success,False,PR-0005,
DEP-0014,staging,2021-01-25 00:05:00,https://github.com/novatech-solutions/novacommerce-core/actions/runs/15493,112,Success,False,PR-0010,
DEP-0015,production,2021-01-25 23:05:00,https://github.com/novatech-solutions/novacommerce-core/actions/runs/73076,121,Success,False,PR-0010,
DEP-0016,staging,2021-01-27 00:09:00,https://github.com/novatech-solutions/security-tools/actions/runs/98189,234,Success,False,PR-0011,ADR-0002
DEP-0017,production,2021-01-27 17:09:00,https://github.com/novatech-solutions/security-tools/actions/runs/60692,217,Success,False,PR-0011,ADR-0002
DEP-0018,staging,2021-01-28 00:18:00,https://github.com/novatech-solutions/security-tools/actions/runs/22821,109,Success,False,PR-0012,ADR-0002
DEP-0019,production,2021-01-28 07:18:00,https://github.com/novatech-solutions/security-tools/actions/runs/33399,297,Success,False,PR-0012,ADR-0002
DEP-0020,staging,2021-01-28 00:27:00,https://github.com/novatech-solutions/security-tools/actions/runs/36772,123,Success,False,PR-0014,ADR-0002
DEP-0021,production,2021-01-28 18:27:00,https://github.com/novatech-solutions/security-tools/actions/runs/50336,261,Success,False,PR-0014,ADR-0002
DEP-0022,staging,2021-01-29 00:20:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/20413,231,Success,False,PR-0007,ADR-0001
DEP-0023,production,2021-01-29 06:20:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/57000,190,Success,False,PR-0007,ADR-0001
DEP-0024,staging,2021-01-30 00:24:00,https://github.com/novatech-solutions/insightcrm-core/actions/runs/91002,108,Success,False,PR-0016,ADR-0005
DEP-0025,production,2021-01-30 08:24:00,https://github.com/novatech-solutions/insightcrm-core/actions/runs/68318,172,Success,False,PR-0016,ADR-0005
DEP-0026,staging,2021-01-31 00:10:00,https://github.com/novatech-solutions/security-tools/actions/runs/79808,98,Success,False,PR-0019,ADR-0006
DEP-0027,production,2021-01-31 17:10:00,https://github.com/novatech-solutions/security-tools/actions/runs/64614,269,Success,False,PR-0019,ADR-0006
DEP-0028,staging,2021-02-03 00:16:00,https://github.com/novatech-solutions/cloudsync-core/actions/runs/11800,157,Success,False,PR-0021,
DEP-0029,production,2021-02-03 10:16:00,https://github.com/novatech-solutions/cloudsync-core/actions/runs/46909,327,Success,False,PR-0021,
DEP-0030,staging,2021-02-05 00:14:00,https://github.com/novatech-solutions/platform-infra/actions/runs/60410,64,Success,False,PR-0015,ADR-0003
DEP-0031,production,2021-02-05 09:14:00,https://github.com/novatech-solutions/platform-infra/actions/runs/41423,195,Success,False,PR-0015,ADR-0003
DEP-0032,staging,2021-02-05 00:15:00,https://github.com/novatech-solutions/insightcrm-core/actions/runs/90989,100,Success,False,PR-0023,ADR-0005
DEP-0033,production,2021-02-05 19:15:00,https://github.com/novatech-solutions/insightcrm-core/actions/runs/47220,227,Success,False,PR-0023,ADR-0005
DEP-0034,staging,2021-02-05 00:09:00,https://github.com/novatech-solutions/insightcrm-core/actions/runs/15821,143,Success,False,PR-0026,ADR-0005
DEP-0035,production,2021-02-05 13:09:00,https://github.com/novatech-solutions/insightcrm-core/actions/runs/38216,249,Success,False,PR-0026,ADR-0005
DEP-0036,staging,2021-02-07 00:29:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/39217,211,Success,False,PR-0017,ADR-0009
DEP-0037,production,2021-02-07 22:29:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/13474,289,Success,False,PR-0017,ADR-0009
DEP-0038,staging,2021-02-08 00:17:00,https://github.com/novatech-solutions/platform-infra/actions/runs/35733,168,Success,False,PR-0020,ADR-0004
DEP-0039,production,2021-02-08 18:17:00,https://github.com/novatech-solutions/platform-infra/actions/runs/91289,207,Success,False,PR-0020,ADR-0004
DEP-0040,staging,2021-02-11 00:08:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/48754,209,Success,False,PR-0006,ADR-0001
DEP-0041,production,2021-02-11 16:08:00,https://github.com/novatech-solutions/atlaspay-backend/actions/runs/96145,347,Success,False,PR-0006,ADR-0001
DEP-0042,staging,2021-02-11 00:20:00,https://github.com/novatech-solutions/security-tools/actions/runs/57172,125,Success,False,PR-0027,ADR-0006
DEP-0043,production,2021-02-11 14:20:00,https://github.com/novatech-solutions/security-tools/actions/runs/35179,97,Success,False,PR-0027,ADR-0006
DEP-0044,staging,2021-02-11 00:26:00,https://github.com/novatech-solutions/visionai-engine/actions/runs/81105,222,Success,False,PR-0030,ADR-0007
DEP-0045,production,2021-02-11 14:26:00,https://github.com/novatech-solutions/visionai-engine/actions/runs/57263,287,Success,False,PR-0030,ADR-0007
DEP-0046,staging,2021-02-12 00:23:00,https://github.com/novatech-solutions/cloudsync-apps/actions/runs/88266,212,Success,False,PR-0025,
DEP-0047,production,2021-02-12 10:23:00,https://github.com/novatech-solutions/cloudsync-apps/actions/runs/92736,148,Success,False,PR-0025,
DEP-0048,staging,2021-02-14 00:10:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/48645,165,Success,False,PR-0034,ADR-0009
DEP-0049,production,2021-02-14 11:10:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/78116,235,Failed,True,PR-0034,ADR-0009
DEP-0050,staging,2021-02-14 00:09:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/84181,91,Success,False,PR-0036,ADR-0009
DEP-0051,production,2021-02-15 00:09:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/93107,131,Success,False,PR-0036,ADR-0009
DEP-0052,staging,2021-02-14 00:08:00,https://github.com/novatech-solutions/fusionerp-monolith/actions/runs/44510,210,Success,False,PR-0037,ADR-0009
