feedback_id,sprint,project_id,adr_id,employee_id,difficulty_rating,opinion,suggestion
FDB-00001,Sprint-2024-W05,PRJ-002,,EMP-161,4,The lack of documentation on our gRPC interfaces makes it difficult for new hires to build features.,Provide sandbox credentials for local database testing.
FDB-00002,Sprint-2022-W20,PRJ-003,ADR-0369,EMP-059,3,Regarding ADR-0369 (Introduce AWS SQS for decoupled communications in novacommerce-cart): The team found the design in ADR-0369 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0369.
FDB-00003,Sprint-2021-W34,PRJ-024,,EMP-120,4,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Improve CI build times for security-scanner repository. Currently taking > 15 minutes.
FDB-00004,Sprint-2021-W04,PRJ-012,,EMP-101,3,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Enforce standard code linter rules globally.
FDB-00005,Sprint-2022-W50,PRJ-018,,EMP-244,2,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Improve CI build times for fusionerp-payroll repository. Currently taking > 15 minutes.
FDB-00006,Sprint-2021-W12,PRJ-018,,EMP-137,1,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Set up an internal knowledge base detailing API interface contracts.
FDB-00007,Sprint-2021-W30,PRJ-004,,EMP-073,2,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Refactor the billing module of novacommerce-checkout; it has too much technical debt.
FDB-00008,Sprint-2025-W33,PRJ-002,,EMP-187,2,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Set up an internal knowledge base detailing API interface contracts.
FDB-00009,Sprint-2021-W32,PRJ-007,,EMP-181,5,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Improve CI build times for atlaspay-portal repository. Currently taking > 15 minutes.
FDB-00010,Sprint-2023-W42,PRJ-005,,EMP-199,2,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Set up an internal knowledge base detailing API interface contracts.
FDB-00011,Sprint-2025-W47,PRJ-015,ADR-0446,EMP-093,1,Regarding ADR-0446 (Implement Memcached cache layer for visionai-training): The team found the design in ADR-0446 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0446.
FDB-00012,Sprint-2023-W12,PRJ-008,ADR-0062,EMP-170,4,Regarding ADR-0062 (Adopt DynamoDB for insightcrm-api database storage): We hit some performance hiccups under load on insightcrm-api after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0062.
FDB-00013,Sprint-2021-W06,PRJ-016,,EMP-192,3,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Enforce standard code linter rules globally.
FDB-00014,Sprint-2024-W33,PRJ-007,,EMP-180,2,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Improve CI build times for atlaspay-portal repository. Currently taking > 15 minutes.
FDB-00015,Sprint-2023-W14,PRJ-003,,EMP-202,4,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Enforce standard code linter rules globally.
FDB-00016,Sprint-2021-W26,PRJ-015,,EMP-034,3,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Provide sandbox credentials for local database testing.
FDB-00017,Sprint-2021-W52,PRJ-024,,EMP-146,3,"Terraform configurations are clean, but applying them in dev environment is slow.",Enforce standard code linter rules globally.
FDB-00018,Sprint-2024-W27,PRJ-013,,EMP-163,4,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Provide sandbox credentials for local database testing.
FDB-00019,Sprint-2021-W32,PRJ-014,,EMP-243,2,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Enforce standard code linter rules globally.
FDB-00020,Sprint-2022-W30,PRJ-017,,EMP-225,5,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Provide sandbox credentials for local database testing.
FDB-00021,Sprint-2022-W24,PRJ-004,ADR-0169,EMP-177,3,Regarding ADR-0169 (Implement Memcached cache layer for novacommerce-checkout): The team found the design in ADR-0169 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0169.
FDB-00022,Sprint-2021-W40,PRJ-010,ADR-0029,EMP-048,2,"Regarding ADR-0029 (Use Kubernetes to deploy insightcrm-analytics to AWS): Implementing this decision on insightcrm-analytics was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0029.
FDB-00023,Sprint-2021-W50,PRJ-011,,EMP-127,5,"Terraform configurations are clean, but applying them in dev environment is slow.",Set up an internal knowledge base detailing API interface contracts.
FDB-00024,Sprint-2025-W33,PRJ-023,,EMP-177,2,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Enforce standard code linter rules globally.
FDB-00025,Sprint-2024-W23,PRJ-008,,EMP-236,3,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Enforce standard code linter rules globally.
FDB-00026,Sprint-2022-W42,PRJ-001,,EMP-156,3,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Refactor the billing module of novacommerce-api; it has too much technical debt.
FDB-00027,Sprint-2022-W20,PRJ-001,,EMP-051,1,"Terraform configurations are clean, but applying them in dev environment is slow.",Set up an internal knowledge base detailing API interface contracts.
FDB-00028,Sprint-2023-W16,PRJ-004,ADR-0086,EMP-060,3,Regarding ADR-0086 (Adopt PostgreSQL for novacommerce-checkout database storage): The team found the design in ADR-0086 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0086.
FDB-00029,Sprint-2021-W14,PRJ-013,,EMP-153,3,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Enforce standard code linter rules globally.
FDB-00030,Sprint-2022-W28,PRJ-014,,EMP-048,4,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Provide sandbox credentials for local database testing.
FDB-00031,Sprint-2022-W52,PRJ-024,,EMP-224,1,"Terraform configurations are clean, but applying them in dev environment is slow.",Enforce standard code linter rules globally.
FDB-00032,Sprint-2023-W34,PRJ-003,,EMP-040,1,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Refactor the billing module of novacommerce-cart; it has too much technical debt.
FDB-00033,Sprint-2021-W26,PRJ-004,,EMP-061,5,"Terraform configurations are clean, but applying them in dev environment is slow.",Provide sandbox credentials for local database testing.
FDB-00034,Sprint-2022-W44,PRJ-020,,EMP-220,2,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Set up an internal knowledge base detailing API interface contracts.
FDB-00035,Sprint-2023-W10,PRJ-008,ADR-0196,EMP-042,4,"Regarding ADR-0196 (Implement Redis cache layer for insightcrm-api): Implementing this decision on insightcrm-api was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0196.
FDB-00036,Sprint-2024-W45,PRJ-018,,EMP-202,2,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Set up an internal knowledge base detailing API interface contracts.
FDB-00037,Sprint-2022-W40,PRJ-005,,EMP-067,4,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Enforce standard code linter rules globally.
FDB-00038,Sprint-2021-W42,PRJ-019,,EMP-091,5,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Refactor the billing module of fusionerp-frontend; it has too much technical debt.
FDB-00039,Sprint-2022-W50,PRJ-015,ADR-0482,EMP-083,3,Regarding ADR-0482 (Implement Memcached cache layer for visionai-training): We hit some performance hiccups under load on visionai-training after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0482.
FDB-00040,Sprint-2024-W19,PRJ-021,,EMP-075,2,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Improve CI build times for platform-logging repository. Currently taking > 15 minutes.
FDB-00041,Sprint-2024-W15,PRJ-008,,EMP-004,1,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Improve CI build times for insightcrm-api repository. Currently taking > 15 minutes.
FDB-00042,Sprint-2021-W12,PRJ-003,ADR-0282,EMP-207,3,Regarding ADR-0282 (Adopt DynamoDB for novacommerce-cart database storage): We hit some performance hiccups under load on novacommerce-cart after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0282.
FDB-00043,Sprint-2022-W34,PRJ-006,ADR-0135,EMP-135,2,"Regarding ADR-0135 (Migrate atlaspay-ledger frontend architecture to Vue.js): Implementing this decision on atlaspay-ledger was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0135.
FDB-00044,Sprint-2022-W52,PRJ-011,,EMP-185,2,"Terraform configurations are clean, but applying them in dev environment is slow.",Provide sandbox credentials for local database testing.
FDB-00045,Sprint-2021-W08,PRJ-006,ADR-0465,EMP-024,3,Regarding ADR-0465 (Use AWS ECS to deploy atlaspay-ledger to AWS): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0465.
FDB-00046,Sprint-2021-W00,PRJ-001,,EMP-053,4,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Refactor the billing module of novacommerce-api; it has too much technical debt.
FDB-00047,Sprint-2025-W15,PRJ-008,ADR-0192,EMP-233,3,"Regarding ADR-0192 (Adopt DynamoDB for insightcrm-api database storage): Implementing this decision on insightcrm-api was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0192.
FDB-00048,Sprint-2022-W50,PRJ-008,ADR-0293,EMP-194,4,Regarding ADR-0293 (Implement Redis cache layer for insightcrm-api): The team found the design in ADR-0293 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0293.
FDB-00049,Sprint-2021-W36,PRJ-020,ADR-0097,EMP-102,2,Regarding ADR-0097 (Migrate platform-k8s-mesh frontend architecture to Svelte): We hit some performance hiccups under load on platform-k8s-mesh after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0097.
FDB-00050,Sprint-2024-W45,PRJ-018,ADR-0138,EMP-080,3,Regarding ADR-0138 (Adopt Cassandra for fusionerp-payroll database storage): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0138.
FDB-00051,Sprint-2025-W13,PRJ-020,ADR-0121,EMP-126,5,"Regarding ADR-0121 (Implement Memcached cache layer for platform-k8s-mesh): Implementing this decision on platform-k8s-mesh was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0121.
FDB-00052,Sprint-2022-W06,PRJ-021,,EMP-173,3,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Provide sandbox credentials for local database testing.
FDB-00053,Sprint-2021-W14,PRJ-008,,EMP-118,3,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Refactor the billing module of insightcrm-api; it has too much technical debt.
FDB-00054,Sprint-2023-W34,PRJ-021,,EMP-163,2,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Set up an internal knowledge base detailing API interface contracts.
FDB-00055,Sprint-2025-W13,PRJ-013,,EMP-242,1,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Refactor the billing module of cloudsync-desktop; it has too much technical debt.
FDB-00056,Sprint-2022-W46,PRJ-004,,EMP-020,3,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Refactor the billing module of novacommerce-checkout; it has too much technical debt.
