ticket_id,type,title,status,description,project,owner,adr,sprint,priority,dependencies,created_date,resolved_date
AL5-1,Spike,Spike: Evaluate options for Introduce AWS SQS,Done,"Research spiked for Introduce AWS SQS for decoupled communications in atlaspay-ledger. Alternatives considered: 1. Keep synchronous REST APIs but increase timeouts and retry limits.
2. Introduce an HTTP webhook callback system.
3. Deploy AWS SQS as a centralized event broker.",PRJ-006,EMP-185,ADR-0001,Sprint-2021-W00,Low,[],2020-12-29,2021-01-12
AL5-2,Epic,Epic: Introduce AWS SQS for decoupled communications in atlaspay-ledger,Done,Implementation of decision in ADR-0001. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-006,EMP-245,ADR-0001,Sprint-2021-W00,Low,[],2021-01-12,2021-02-11
AL5-3,Story,Implement AWS SQS backend service in atlaspay-ledger,Done,"Tasks to fulfill architectural decision ADR-0001. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between atlaspay-ledger and downstream microservices.",PRJ-006,EMP-083,ADR-0001,Sprint-2021-W00,Low,"[""AL5-2""]",2021-01-17,2021-01-22
AL5-4,Task,Configure deployment pipelines for AWS SQS on atlaspay-ledger,Done,"Tasks to fulfill architectural decision ADR-0001. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between atlaspay-ledger and downstream microservices.",PRJ-006,EMP-179,ADR-0001,Sprint-2021-W00,Low,"[""AL5-2""]",2021-01-16,2021-01-29
SS23-1,Epic,Epic: Implement Redis cache layer for security-scanner,Done,Implementation of decision in ADR-0002. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-024,EMP-116,ADR-0002,Sprint-2021-W02,Medium,[],2021-01-18,2021-02-17
SS23-2,Story,Implement Redis backend service in security-scanner,Done,Tasks to fulfill architectural decision ADR-0002. Focus on: Implement Redis as a distributed caching layer for security-scanner endpoints.,PRJ-024,EMP-102,ADR-0002,Sprint-2021-W02,Medium,"[""SS23-1""]",2021-01-19,2021-01-27
SS23-3,Task,Configure deployment pipelines for Redis on security-scanner,Done,Tasks to fulfill architectural decision ADR-0002. Focus on: Implement Redis as a distributed caching layer for security-scanner endpoints.,PRJ-024,EMP-068,ADR-0002,Sprint-2021-W02,Medium,"[""SS23-1""]",2021-01-23,2021-01-28
SS23-4,Task,Configure deployment pipelines for Redis on security-scanner,Done,Tasks to fulfill architectural decision ADR-0002. Focus on: Implement Redis as a distributed caching layer for security-scanner endpoints.,PRJ-024,EMP-164,ADR-0002,Sprint-2021-W02,Medium,"[""SS23-1""]",2021-01-19,2021-01-28
PM21-1,Spike,Spike: Evaluate options for Implement Redis cache layer,Done,"Research spiked for Implement Redis cache layer for platform-monitoring. Alternatives considered: 1. Add read replicas to the primary database.
2. Use in-memory application caching.
3. Deploy a centralized Redis caching cluster.",PRJ-022,EMP-206,ADR-0003,Sprint-2021-W02,Medium,[],2021-01-07,2021-01-20
PM21-2,Epic,Epic: Implement Redis cache layer for platform-monitoring,Done,Implementation of decision in ADR-0003. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-022,EMP-249,ADR-0003,Sprint-2021-W02,Medium,[],2021-01-20,2021-02-19
PM21-3,Story,Implement Redis backend service in platform-monitoring,Done,Tasks to fulfill architectural decision ADR-0003. Focus on: Implement Redis as a distributed caching layer for platform-monitoring endpoints.,PRJ-022,EMP-235,ADR-0003,Sprint-2021-W02,Medium,"[""PM21-2""]",2021-01-25,2021-02-05
PM21-4,Epic,Epic: Use Kubernetes to deploy platform-monitoring to AWS,Done,Implementation of decision in ADR-0004. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-022,EMP-049,ADR-0004,Sprint-2021-W02,High,[],2021-01-25,2021-02-24
PM21-5,Story,Implement Kubernetes backend service in platform-monitoring,Done,"Tasks to fulfill architectural decision ADR-0004. Focus on: Standardize all microservice deployments, starting with platform-monitoring, on Kubernetes hosted on AWS.",PRJ-022,EMP-099,ADR-0004,Sprint-2021-W02,High,"[""PM21-4""]",2021-01-27,2021-02-08
IA7-1,Spike,Spike: Evaluate options for Implement Redis cache layer,Done,"Research spiked for Implement Redis cache layer for insightcrm-api. Alternatives considered: 1. Add read replicas to the primary database.
2. Use in-memory application caching.
3. Deploy a centralized Redis caching cluster.",PRJ-008,EMP-031,ADR-0005,Sprint-2021-W04,Low,[],2021-01-25,2021-01-30
IA7-2,Epic,Epic: Implement Redis cache layer for insightcrm-api,Done,Implementation of decision in ADR-0005. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-008,EMP-228,ADR-0005,Sprint-2021-W04,Low,[],2021-01-30,2021-03-01
IA7-3,Story,Implement Redis backend service in insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0005. Focus on: Implement Redis as a distributed caching layer for insightcrm-api endpoints.,PRJ-008,EMP-041,ADR-0005,Sprint-2021-W04,Low,"[""IA7-2""]",2021-01-31,2021-02-05
IA7-4,Task,Configure deployment pipelines for Redis on insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0005. Focus on: Implement Redis as a distributed caching layer for insightcrm-api endpoints.,PRJ-008,EMP-119,ADR-0005,Sprint-2021-W04,Low,"[""IA7-2""]",2021-02-01,2021-02-05
SAP-1,Spike,Spike: Evaluate options for Introduce Kafka,Done,"Research spiked for Introduce Kafka for decoupled communications in security-auth-proxy. Alternatives considered: 1. Keep synchronous REST APIs but increase timeouts and retry limits.
2. Introduce an HTTP webhook callback system.
3. Deploy Kafka as a centralized event broker.",PRJ-023,EMP-169,ADR-0006,Sprint-2021-W04,Medium,[],2021-01-26,2021-01-31
SAP-2,Epic,Epic: Introduce Kafka for decoupled communications in security-auth-proxy,Done,Implementation of decision in ADR-0006. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-023,EMP-044,ADR-0006,Sprint-2021-W04,Medium,[],2021-01-31,2021-03-02
SAP-3,Story,Implement Kafka backend service in security-auth-proxy,Done,"Tasks to fulfill architectural decision ADR-0006. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between security-auth-proxy and downstream microservices.",PRJ-023,EMP-192,ADR-0006,Sprint-2021-W04,Medium,"[""SAP-2""]",2021-02-03,2021-02-11
