date,project_id,project_name,cpu_usage_pct,memory_usage_pct,latency_ms,availability_pct,error_rate_pct,traffic_rpm,daily_cost_usd
2021-01-01,PRJ-001,novacommerce-api,38.15,48.46,162.1,99.866,0.074,801.0,51.29
2021-01-01,PRJ-002,novacommerce-ui,32.97,50.46,140.9,99.873,0.059,985.0,51.66
2021-01-01,PRJ-003,novacommerce-cart,39.96,50.04,147.3,99.897,0.076,1132.0,50.99
2021-01-01,PRJ-004,novacommerce-checkout,38.58,51.74,135.7,99.888,0.043,1003.0,50.39
2021-01-01,PRJ-005,atlaspay-gateway,38.93,51.04,163.7,99.881,0.049,947.0,50.87
2021-01-01,PRJ-006,atlaspay-ledger,34.01,50.4,151.2,99.866,0.061,812.0,50.63
2021-01-01,PRJ-007,atlaspay-portal,38.67,53.14,145.1,99.872,0.075,843.0,48.54
2021-01-01,PRJ-008,insightcrm-api,40.84,52.35,137.1,99.877,0.054,1104.0,49.36
2021-01-01,PRJ-009,insightcrm-ui,35.18,52.9,150.2,99.87,0.06,996.0,51.88
2021-01-01,PRJ-010,insightcrm-analytics,40.04,51.47,160.1,99.853,0.037,894.0,49.11
2021-01-01,PRJ-011,cloudsync-daemon,32.92,51.02,139.0,99.868,0.055,918.0,48.27
2021-01-01,PRJ-012,cloudsync-storage,40.98,49.98,162.5,99.889,0.076,1091.0,49.85
2021-01-01,PRJ-013,cloudsync-desktop,36.19,49.79,139.3,99.88,0.048,851.0,51.12
2021-01-01,PRJ-014,visionai-inference,42.19,51.44,154.7,99.882,0.074,1122.0,48.14
2021-01-01,PRJ-015,visionai-training,40.67,52.77,158.9,99.859,0.069,1073.0,51.9
2021-01-01,PRJ-016,visionai-pipeline,35.38,51.18,164.7,99.899,0.036,1105.0,50.61
2021-01-01,PRJ-017,fusionerp-core,41.69,50.68,162.4,99.897,0.067,1187.0,49.15
2021-01-01,PRJ-018,fusionerp-payroll,38.12,48.35,161.9,99.863,0.069,1055.0,49.52
2021-01-01,PRJ-019,fusionerp-frontend,37.91,52.97,156.4,99.86,0.077,829.0,51.97
2021-01-01,PRJ-020,platform-k8s-mesh,36.06,52.04,146.0,99.857,0.061,1180.0,48.85
2021-01-01,PRJ-021,platform-logging,35.79,52.77,149.8,99.854,0.067,831.0,50.08
2021-01-01,PRJ-022,platform-monitoring,35.13,53.15,137.5,99.864,0.067,893.0,48.55
2021-01-01,PRJ-023,security-auth-proxy,35.6,49.55,136.0,99.889,0.058,824.0,48.45
2021-01-01,PRJ-024,security-scanner,39.87,49.94,146.3,99.869,0.074,980.0,50.78
2021-01-01,PRJ-025,devops-ci-cd,41.0,48.7,159.4,99.854,0.053,974.0,51.46
2021-01-02,PRJ-001,novacommerce-api,33.82,50.12,157.0,99.867,0.038,418.0,49.05
2021-01-02,PRJ-002,novacommerce-ui,34.62,48.2,151.9,99.853,0.062,586.0,48.88
2021-01-02,PRJ-003,novacommerce-cart,32.48,50.48,161.0,99.86,0.067,544.0,51.1
2021-01-02,PRJ-004,novacommerce-checkout,31.78,48.47,149.8,99.898,0.038,533.0,51.53
2021-01-02,PRJ-005,atlaspay-gateway,37.59,48.26,144.3,99.872,0.04,512.0,51.67
2021-01-02,PRJ-006,atlaspay-ledger,39.75,51.24,151.2,99.898,0.053,506.0,51.61
2021-01-02,PRJ-007,atlaspay-portal,32.5,52.73,157.6,99.894,0.051,582.0,50.18
2021-01-02,PRJ-008,insightcrm-api,37.07,48.56,151.9,99.896,0.039,544.0,48.81
2021-01-02,PRJ-009,insightcrm-ui,33.07,47.92,149.1,99.867,0.048,466.0,51.33
2021-01-02,PRJ-010,insightcrm-analytics,34.97,48.9,157.3,99.864,0.067,519.0,49.84
2021-01-02,PRJ-011,cloudsync-daemon,40.05,48.11,159.5,99.871,0.063,441.0,48.84
2021-01-02,PRJ-012,cloudsync-storage,32.95,52.1,161.2,99.864,0.062,591.0,48.95
2021-01-02,PRJ-013,cloudsync-desktop,36.32,53.69,137.1,99.875,0.039,551.0,50.96
2021-01-02,PRJ-014,visionai-inference,39.78,49.12,139.2,99.887,0.074,517.0,48.18
2021-01-02,PRJ-015,visionai-training,40.33,52.82,144.2,99.886,0.057,565.0,50.21
2021-01-02,PRJ-016,visionai-pipeline,36.6,53.45,159.2,99.854,0.039,531.0,51.18
